pool	 sample
34	 173
34	 180
34	 192
34	 193
34	 205
34	 212
34	 224
34	 231
34	 235
34	 246
34	 250
34	 261
34	 265
34	 280
34	 284
34	 291
34	 303
34	 306
34	 318
34	 323
34	 335
34	 338
34	 350
34	 357
34	 361
34	 376
34	 380
35	 3
35	 15
35	 18
35	 30
35	 37
35	 41
35	 56
35	 60
35	 69
35	 73
35	 88
35	 92
35	 99
35	 111
35	 114
35	 126
35	 134
35	 138
35	 151
35	 155
35	 164
35	 176
35	 177
35	 189
35	 196
35	 208
35	 209
35	 221
35	 230
35	 234
35	 247
35	 251
35	 264
35	 268
35	 277
35	 281
35	 290
35	 302
35	 307
35	 319
35	 322
35	 334
35	 339
35	 351
35	 360
35	 364
35	 373
35	 377
36	 4
36	 16
36	 17
36	 29
36	 38
36	 42
36	 55
36	 59
36	 70
36	 74
36	 87
36	 91
36	 100
36	 112
36	 113
36	 125
36	 133
36	 137
36	 152
36	 156
36	 163
36	 175
36	 178
36	 190
36	 195
36	 207
36	 210
36	 222
36	 229
36	 233
36	 248
36	 252
36	 263
36	 267
36	 278
36	 282
36	 289
36	 301
36	 308
36	 320
36	 321
36	 333
36	 340
36	 352
36	 359
36	 363
36	 374
36	 378
37	 5
37	 9
37	 24
37	 28
37	 35
37	 47
37	 50
37	 62
37	 67
37	 79
37	 82
37	 94
37	 101
37	 105
37	 120
37	 124
37	 132
37	 144
37	 145
37	 157
37	 166
37	 170
37	 183
37	 187
37	 198
37	 202
37	 215
37	 219
37	 228
37	 240
37	 241
37	 253
37	 258
37	 270
37	 275
37	 287
37	 296
37	 300
37	 309
37	 313
37	 328
37	 332
37	 341
37	 345
37	 354
37	 366
37	 371
37	 383
38	 6
38	 10
38	 23
38	 27
38	 36
38	 48
38	 49
38	 61
38	 68
38	 80
38	 81
38	 93
38	 102
38	 106
38	 119
38	 123
38	 131
38	 143
38	 146
38	 158
38	 165
38	 169
38	 184
38	 188
38	 197
38	 201
38	 216
38	 220
38	 227
38	 239
38	 242
38	 254
38	 257
38	 269
38	 276
38	 288
38	 295
38	 299
38	 310
38	 314
38	 327
38	 331
38	 342
38	 346
38	 353
38	 365
38	 372
38	 384
39	 7
39	 11
39	 22
39	 26
39	 33
39	 45
39	 52
39	 64
39	 65
39	 77
39	 84
39	 96
39	 103
39	 107
39	 118
39	 122
39	 130
39	 142
39	 147
39	 159
39	 168
39	 172
39	 181
39	 185
39	 200
39	 204
39	 213
39	 217
39	 226
39	 238
39	 243
39	 255
39	 260
39	 272
39	 273
39	 285
39	 294
39	 298
39	 311
39	 315
39	 326
39	 330
39	 343
39	 347
39	 356
39	 368
39	 369
39	 381
40	 8
40	 12
40	 21
40	 25
40	 34
40	 46
40	 51
40	 63
40	 66
40	 78
40	 83
40	 95
40	 104
40	 108
40	 117
40	 121
40	 129
40	 141
40	 148
40	 160
40	 167
40	 171
40	 182
40	 186
40	 199
40	 203
40	 214
40	 218
40	 225
40	 237
40	 244
40	 256
40	 259
40	 271
40	 274
40	 286
40	 293
40	 297
40	 312
40	 316
40	 325
40	 329
40	 344
40	 348
40	 355
40	 367
40	 370
40	 382
41	 1
41	 14
41	 18
41	 29
41	 35
41	 48
41	 52
41	 63
41	 72
41	 75
41	 87
41	 92
41	 102
41	 105
41	 117
41	 122
41	 134
41	 137
